memory_matrix_accuracy,memory_matrix_avg_time,pattern_sequence_accuracy,pattern_sequence_avg_time,multi_switch_accuracy,switch_cost_ms,dual_task_memory_accuracy,dual_task_math_accuracy,cpt_accuracy,cpt_false_positives,keep_track_accuracy,operation_span_processing_accuracy,operation_span_storage_accuracy,find_the_box_accuracy,color_number_accuracy,color_number_false_clicks,rule_discovery_accuracy,average_rule_guesses,average_discovery_time_ms,overall_score,behavior_profile
94.98,1082.58,100.0,1236.3,82.79,431.6,90.41,88.0,81.93,2,100.0,90.64,100.0,98.21,99.95,1,91.0,2.03,5025.48,91.4,Efficient
65.09,1110.6,44.37,1049.88,62.06,524.52,52.15,48.65,59.78,8,63.65,63.41,57.81,57.15,60.31,9,58.83,3.45,6291.46,62.25,Impulsive
32.84,1119.81,32.45,1210.28,51.33,665.1,55.95,39.8,52.93,12,51.19,43.74,43.17,46.7,52.27,11,48.83,4.63,6713.97,45.82,Impulsive
92.42,2068.94,88.14,1848.95,98.75,526.24,89.54,92.59,93.87,0,95.29,83.54,93.26,83.49,93.08,1,98.67,2.09,5839.89,89.56,Careful
88.29,1933.54,93.48,1817.02,83.07,609.59,96.11,78.83,84.08,3,83.98,98.66,87.49,72.04,94.04,1,100.0,1.95,5811.73,89.02,Careful
98.56,2000.53,74.13,1638.18,100.0,504.39,86.4,85.1,88.92,1,84.24,83.01,98.11,92.61,75.99,0,97.4,2.62,4738.84,90.44,Careful
44.47,1435.43,53.45,1401.45,30.29,513.38,58.67,38.67,56.26,9,54.98,58.12,41.0,48.39,52.36,8,53.87,4.12,7202.53,48.82,Impulsive
55.11,1017.21,50.74,670.37,54.0,411.55,70.75,56.47,58.29,12,51.38,48.82,54.91,75.13,52.8,8,58.35,4.58,6047.92,51.06,Impulsive
100.0,2085.48,100.0,1974.28,97.89,718.68,100.0,99.7,100.0,6,100.0,98.6,94.47,92.71,100.0,4,89.96,2.12,4033.69,96.77,Inconsistent
48.63,1152.62,48.99,1084.63,54.9,755.6,63.85,46.27,49.68,7,44.38,57.81,40.43,43.66,61.55,6,71.5,3.53,6960.09,53.72,Impulsive
48.4,1297.11,54.7,1001.12,43.63,480.58,59.88,58.13,62.12,9,44.11,43.12,54.94,48.34,58.53,9,62.39,4.17,6377.03,57.69,Impulsive
54.76,1406.84,64.21,1956.65,48.94,483.22,44.72,56.69,52.14,5,69.19,50.14,62.13,57.65,42.67,2,59.13,3.47,6771.12,52.49,Inconsistent
91.61,2060.53,88.42,1999.06,80.1,551.79,70.23,85.5,74.32,0,83.27,77.56,65.72,95.81,73.91,0,80.76,2.82,4696.51,81.99,Careful
79.72,2205.69,87.4,2141.66,89.52,429.57,92.65,100.0,83.6,2,92.35,87.03,85.67,88.18,91.34,2,88.14,3.05,5695.3,86.07,Careful
45.39,1190.55,46.58,1180.95,31.94,391.82,45.76,52.66,33.04,8,39.19,44.56,42.51,53.22,47.55,9,45.38,4.1,6888.32,40.33,Impulsive
54.84,905.98,47.22,932.39,67.84,445.01,53.42,63.11,65.15,8,50.4,56.99,56.7,74.03,66.51,6,46.8,3.85,6048.66,61.62,Impulsive
91.36,1398.09,100.0,1430.52,94.87,343.29,83.34,89.64,88.33,0,100.0,100.0,93.84,96.65,93.62,1,100.0,3.07,5680.26,98.23,Efficient
78.56,1411.46,85.8,1515.19,76.97,496.38,89.81,88.2,85.91,0,96.49,83.22,90.37,94.32,75.89,0,81.02,2.27,5548.44,84.18,Careful
93.28,1294.05,93.83,1264.65,82.72,381.5,76.84,84.32,83.75,1,84.05,81.37,76.16,84.84,81.75,2,82.2,2.47,4749.95,82.42,Efficient
30.06,1505.15,32.97,1231.98,38.68,338.57,38.27,20.0,25.53,5,30.17,42.0,20.0,24.53,20.0,7,20.0,3.77,7827.16,32.55,Inconsistent
85.16,1657.38,82.33,1913.55,96.94,514.96,87.05,88.39,92.42,1,98.98,82.47,91.62,82.58,88.19,2,99.44,1.88,6025.58,91.05,Careful
62.72,1054.84,56.44,981.47,52.26,335.43,42.23,49.21,53.81,6,52.71,42.09,53.95,45.1,47.36,5,60.03,4.32,6495.89,55.53,Impulsive
84.96,1504.11,78.08,1313.23,91.17,220.87,75.53,95.11,78.91,2,76.29,83.5,84.96,84.04,72.68,0,87.05,2.08,5133.58,86.6,Efficient
93.38,1189.78,100.0,1502.41,83.22,223.26,98.19,78.2,99.92,4,89.2,89.9,93.48,74.72,76.96,1,86.6,2.67,5291.28,88.54,Efficient
81.99,1435.42,87.69,1520.26,64.61,477.35,85.96,73.77,74.26,0,82.09,86.57,80.75,72.81,80.75,1,75.03,2.37,6666.19,75.89,Efficient
98.21,1008.39,98.35,1134.19,94.94,464.45,100.0,100.0,96.61,0,94.53,97.61,91.59,88.24,87.43,0,95.52,2.23,5737.14,99.46,Efficient
49.5,1431.49,37.36,1152.87,35.43,412.76,52.29,48.27,51.78,9,41.99,39.89,57.13,34.06,56.26,6,58.13,3.88,7008.93,48.15,Impulsive
49.31,2585.05,49.16,2455.07,39.63,538.28,45.95,62.88,68.14,7,60.56,54.01,51.29,47.09,71.22,6,53.05,3.88,6214.54,61.86,Inconsistent
58.33,1442.14,71.94,1324.01,67.14,484.85,68.22,58.22,67.34,6,54.75,65.48,64.4,64.46,69.76,9,54.32,3.55,5653.21,60.97,Inconsistent
96.35,1934.67,92.6,1875.49,98.35,513.13,82.8,95.77,94.41,1,76.9,98.74,92.57,87.7,87.56,1,80.6,2.46,5854.55,92.32,Efficient
39.29,875.79,37.16,546.68,40.05,499.11,40.9,44.44,29.28,12,36.84,23.03,33.21,41.03,28.5,4,55.74,4.78,6533.38,37.28,Impulsive
87.11,1209.85,100.0,1006.74,86.51,249.16,100.0,88.47,83.94,0,100.0,90.26,86.43,95.67,98.76,0,83.55,2.63,5288.56,94.18,Efficient
93.11,1017.21,95.14,823.01,82.2,329.91,90.07,96.05,79.07,2,76.27,75.83,73.07,78.95,83.15,1,100.0,2.49,5922.01,82.04,Efficient
95.28,1173.74,97.26,1703.1,90.45,464.73,96.58,98.16,90.7,3,88.89,79.42,87.2,82.07,81.99,2,83.45,2.78,5598.48,90.06,Efficient
91.51,1167.28,88.16,933.64,80.34,321.68,91.94,95.99,87.01,2,86.11,96.55,100.0,97.72,92.04,0,88.01,2.29,4797.41,90.37,Efficient
48.03,1049.47,41.67,961.6,40.23,610.64,37.58,32.83,43.05,7,51.44,45.55,47.23,43.89,62.59,6,48.62,3.88,6608.9,46.32,Impulsive
100.0,1521.06,89.46,1251.03,99.73,294.36,100.0,79.33,90.56,0,99.0,80.7,81.97,93.93,100.0,0,100.0,2.71,5401.25,94.4,Efficient
66.8,1601.39,76.36,1473.42,60.5,621.41,61.97,60.65,68.61,5,78.91,72.07,50.27,72.88,64.15,5,72.27,2.98,5073.53,69.52,Inconsistent
69.94,2278.3,48.84,1882.71,71.68,677.3,55.65,58.75,68.79,5,55.31,56.39,53.44,58.89,61.08,5,52.4,3.29,6627.19,66.42,Inconsistent
49.0,1541.59,57.12,1618.67,61.99,419.53,64.02,59.56,58.5,6,67.45,62.98,55.52,61.0,63.76,6,76.16,3.66,5521.66,63.97,Impulsive
72.53,1335.91,76.15,1127.15,73.84,321.83,64.75,70.4,81.47,2,73.46,70.35,77.05,80.59,81.88,0,79.72,2.82,4815.41,80.22,Efficient
86.16,2010.3,90.19,1919.69,84.39,581.47,99.37,86.32,89.62,1,83.91,99.25,85.62,100.0,99.5,0,86.93,2.55,4155.94,90.22,Careful
86.33,1728.28,100.0,1818.48,74.26,380.65,94.65,78.29,87.05,3,84.49,78.77,78.57,88.64,94.4,3,85.27,3.77,5052.54,85.13,Careful
83.7,1708.17,91.0,1641.92,79.77,430.49,97.16,76.08,82.9,1,74.92,91.31,84.57,93.44,80.15,0,92.74,2.2,5610.53,84.39,Careful
85.58,1943.19,89.14,1848.06,100.0,225.44,92.62,98.34,85.41,2,89.86,86.16,99.24,97.73,100.0,3,82.06,3.21,5086.35,93.66,Careful
68.08,1316.49,59.51,1564.57,63.74,429.83,63.73,54.12,62.55,0,52.8,54.4,68.28,67.06,53.62,1,52.66,3.3,7085.07,59.76,Inconsistent
32.68,1620.32,25.3,1716.46,23.25,565.68,26.89,20.0,20.0,12,33.97,34.82,20.0,31.58,23.14,8,26.9,5.17,7094.4,31.92,Inconsistent
66.4,1247.04,80.28,1610.93,55.7,634.06,57.84,60.13,59.05,6,56.41,63.89,71.39,64.47,56.64,7,61.75,3.35,5972.96,62.77,Impulsive
91.86,1824.21,81.63,2190.14,97.85,467.92,99.28,93.52,81.01,0,100.0,94.12,89.8,100.0,76.08,2,93.29,1.55,5445.99,87.69,Careful
48.04,1704.81,60.17,1612.02,47.97,651.99,54.24,55.6,49.31,4,57.2,48.21,68.75,67.54,66.31,0,58.15,3.59,5316.48,54.78,Inconsistent
56.72,1159.0,58.52,1374.83,59.94,399.62,58.63,58.1,57.59,8,45.37,61.53,49.31,60.92,63.52,10,61.57,3.59,6500.3,61.54,Impulsive
53.45,1216.87,40.29,947.33,59.95,467.86,47.99,55.53,52.45,9,61.24,34.18,61.29,61.11,53.45,4,55.9,4.21,6515.02,54.78,Impulsive
88.46,1423.51,87.84,1520.12,97.52,350.1,83.84,100.0,82.1,0,93.58,97.39,97.2,92.69,89.56,4,86.26,1.9,5770.51,87.58,Efficient
93.79,2017.43,89.89,2282.96,96.44,475.12,100.0,83.8,96.19,0,100.0,92.13,91.05,88.62,100.0,0,100.0,1.64,4609.38,93.48,Careful
43.76,1015.61,41.1,956.48,40.14,411.21,55.53,41.63,36.23,5,50.44,38.12,38.37,51.36,39.95,7,41.68,4.84,7064.56,41.88,Impulsive
46.9,1025.33,50.27,1536.55,51.85,431.83,41.18,35.62,42.35,8,52.44,50.69,46.5,53.46,47.04,7,42.88,4.85,7345.64,46.13,Impulsive
80.99,1232.66,79.34,1243.09,82.09,380.64,82.27,88.07,82.55,0,91.14,100.0,97.21,78.72,84.82,0,75.77,3.04,5535.71,82.09,Efficient
65.63,1470.24,61.59,1561.27,60.59,790.71,47.79,67.19,51.05,9,69.75,53.62,69.75,52.29,50.49,8,57.13,4.51,6177.55,61.84,Inconsistent
80.61,1252.1,86.73,1706.53,77.87,352.63,88.4,66.08,81.51,0,85.81,86.49,79.26,68.12,89.9,0,78.27,3.07,5132.36,82.18,Efficient
86.07,1107.01,80.16,1334.49,75.31,499.9,75.78,87.56,80.61,5,72.49,67.38,87.51,76.48,83.5,5,92.02,2.41,5612.88,83.18,Inconsistent
95.35,1621.9,83.8,1538.32,81.58,384.59,85.03,81.58,91.43,1,91.76,93.38,86.15,81.02,84.6,4,80.84,2.85,5280.25,90.65,Efficient
89.2,1357.12,78.95,1096.86,86.36,305.67,97.8,79.54,89.35,2,83.93,91.38,87.38,100.0,94.54,0,78.68,2.94,4690.51,86.35,Efficient
90.82,1340.92,76.05,1432.21,100.0,285.09,97.21,96.96,98.84,5,100.0,92.14,87.78,100.0,85.78,1,100.0,2.13,5201.81,92.06,Efficient
82.34,1998.33,82.15,2001.57,79.38,418.91,83.76,74.0,80.12,0,77.16,91.79,79.18,66.71,79.01,1,68.43,2.62,5266.89,77.41,Careful
87.67,2016.19,100.0,2084.96,80.88,371.11,77.97,96.08,74.7,0,86.54,89.02,66.52,76.28,74.08,0,92.5,2.62,5261.95,87.38,Careful
70.53,2038.27,72.08,1617.36,72.14,478.1,79.39,77.54,86.08,0,79.84,79.51,71.06,77.19,68.83,2,83.95,2.47,5233.02,77.11,Careful
86.96,2067.8,97.26,1991.56,100.0,437.46,89.75,88.9,94.26,0,86.21,80.87,100.0,87.8,91.55,0,85.91,2.78,5247.75,91.43,Careful
41.72,922.31,33.19,1222.25,38.3,539.18,41.29,47.64,37.59,11,43.79,42.78,41.38,37.42,41.55,9,39.72,4.85,6980.47,42.9,Impulsive
64.98,1361.4,59.94,865.98,45.72,475.43,44.01,73.24,48.23,9,57.17,65.58,44.39,49.86,48.54,7,74.72,3.2,7511.51,51.67,Impulsive
67.99,1339.35,73.77,1057.64,76.04,529.76,83.55,76.68,81.66,1,74.86,73.0,71.2,83.15,74.59,3,55.78,1.79,5441.71,72.09,Inconsistent
58.31,1108.65,74.84,1201.37,56.8,445.69,48.32,54.95,48.5,7,63.86,54.25,62.29,52.64,63.0,6,39.25,4.29,6758.1,57.65,Impulsive
79.21,1079.02,92.29,1259.3,76.79,356.25,93.37,82.56,72.36,1,91.48,92.71,90.96,82.57,83.46,0,82.21,2.75,6078.93,84.15,Efficient
50.39,1116.08,51.44,608.43,39.01,324.77,35.05,53.32,56.52,7,50.23,54.91,44.81,51.12,58.28,8,45.65,4.05,6098.11,54.28,Impulsive
77.02,1230.45,73.26,1082.45,87.08,417.02,62.71,80.13,72.56,7,64.28,91.22,92.33,71.58,76.8,4,69.0,3.17,5091.11,76.57,Inconsistent
88.24,1370.48,89.86,1220.23,95.24,358.2,100.0,94.47,90.63,1,73.92,100.0,84.26,84.52,100.0,0,80.01,2.53,5791.63,89.59,Efficient
90.4,1705.55,85.68,1604.88,72.04,423.26,77.55,100.0,78.89,1,80.13,78.42,74.68,87.82,71.48,0,74.71,3.41,6269.89,78.67,Careful
76.97,1995.76,79.56,1797.07,95.28,680.63,94.04,80.24,81.78,2,63.07,90.26,86.59,83.39,75.81,0,81.22,2.71,5188.03,84.03,Careful
92.87,1631.99,94.46,1268.33,89.38,339.01,99.42,97.29,95.19,5,79.98,89.31,91.21,100.0,80.78,2,86.35,2.92,5476.05,91.65,Efficient
66.6,1737.98,59.11,2075.8,69.48,637.92,59.51,80.05,64.44,3,71.71,72.71,64.01,59.11,72.69,3,54.04,3.0,7200.38,68.31,Inconsistent
95.29,2521.56,84.45,1923.75,97.25,445.06,100.0,88.41,100.0,1,91.81,99.21,88.76,98.85,97.45,2,85.11,2.71,4165.91,94.58,Careful
69.12,1799.71,71.88,1855.86,64.43,455.11,66.95,82.68,68.64,3,79.81,77.52,73.06,79.14,69.82,2,84.88,1.93,5865.26,68.91,Careful
80.07,1103.28,86.34,1413.56,76.06,327.93,61.78,78.46,81.06,1,81.06,73.64,69.77,86.5,82.23,1,73.28,3.7,5595.48,83.44,Efficient
97.7,1331.64,84.82,1556.1,100.0,391.4,100.0,82.36,100.0,0,98.0,90.96,97.57,99.56,86.1,2,99.68,2.36,5159.33,96.15,Efficient
42.48,1566.68,44.84,1368.15,60.09,607.59,39.77,45.99,58.74,3,37.73,51.76,40.79,49.69,65.16,1,53.6,3.0,6286.74,49.75,Inconsistent
89.66,1882.16,87.83,1561.49,84.16,479.4,88.77,100.0,93.1,0,96.49,94.85,99.93,86.57,71.66,2,86.4,2.86,5647.54,90.99,Careful
71.13,1837.79,86.6,2043.53,68.03,506.72,84.36,66.9,78.25,0,92.79,97.25,65.4,72.72,74.17,0,98.65,2.66,7106.49,79.93,Careful
86.07,1877.35,79.6,1784.22,74.75,542.42,86.72,87.56,87.51,0,73.91,94.79,79.92,75.76,92.02,3,95.84,2.29,5704.22,83.8,Careful
54.33,1907.86,32.14,2172.48,35.42,826.23,46.67,48.88,29.19,7,30.83,42.6,55.56,59.82,41.4,4,43.18,3.68,6835.99,45.87,Inconsistent
58.07,1493.74,61.9,1604.99,51.26,515.79,46.71,66.77,59.66,11,55.64,66.17,55.09,49.46,46.41,8,53.45,3.69,5458.04,54.66,Impulsive
89.92,1825.43,88.95,1966.54,93.72,344.99,100.0,99.95,95.63,0,94.08,86.85,89.0,97.43,96.25,1,100.0,2.39,5348.34,97.04,Careful
70.21,1029.5,78.4,1330.01,79.82,452.77,62.94,75.8,66.33,1,77.85,70.28,67.58,60.33,73.28,0,63.59,3.0,6324.22,70.47,Efficient
47.88,1871.29,42.85,1576.77,43.66,775.07,49.97,40.24,48.44,3,48.97,49.96,44.46,53.55,56.4,3,54.53,3.52,6641.68,51.31,Inconsistent
54.16,1776.14,68.64,1687.4,64.85,493.6,59.05,60.73,75.75,6,54.14,63.41,77.79,54.6,61.11,4,65.14,3.71,6535.79,59.68,Inconsistent
46.96,1496.66,49.54,1385.68,54.99,353.45,42.03,44.87,51.42,8,48.04,41.34,56.4,47.83,52.64,5,52.06,3.67,6016.38,43.52,Impulsive
60.09,1406.5,49.88,1003.94,36.6,255.2,40.63,39.75,43.39,7,30.46,45.24,25.71,29.27,58.66,10,39.4,3.74,7941.16,43.63,Impulsive
94.12,1589.33,98.67,1654.18,100.0,476.34,88.78,100.0,96.07,3,85.35,94.04,100.0,100.0,100.0,2,84.68,2.44,4530.85,90.52,Efficient
54.7,1060.65,57.69,1090.88,51.63,435.88,49.68,64.39,52.44,7,42.71,52.13,50.09,47.66,37.72,5,51.1,4.36,5791.61,49.8,Impulsive
100.0,1588.04,89.56,1750.87,96.11,377.67,87.94,99.61,78.82,2,81.58,88.31,91.3,93.09,100.0,3,85.93,3.16,5774.64,89.48,Careful
63.02,1441.7,52.72,1356.11,84.67,387.19,48.53,64.55,54.81,4,73.84,55.34,57.31,45.12,76.25,6,54.03,3.69,6388.22,66.73,Impulsive
50.56,2322.05,40.43,1811.6,41.98,821.9,35.59,34.02,42.06,9,47.72,43.12,30.11,39.96,30.66,6,33.9,4.49,6695.2,38.74,Inconsistent
96.63,1051.33,76.19,1091.83,79.04,267.89,93.13,96.54,91.72,1,100.0,98.12,92.43,100.0,100.0,0,99.04,2.29,5081.28,87.9,Efficient
55.91,856.9,31.96,1409.34,42.88,463.21,49.65,47.85,43.25,12,47.88,39.76,52.62,49.59,32.5,8,42.21,3.75,8528.17,44.88,Impulsive
100.0,1354.13,99.4,1582.99,97.38,442.57,100.0,100.0,100.0,1,88.53,82.64,84.98,82.85,87.76,0,85.42,3.2,5198.26,93.73,Efficient
60.17,826.0,55.79,895.11,55.75,432.98,68.79,64.63,72.99,9,55.8,61.45,62.83,67.52,71.22,4,61.2,3.26,6573.99,59.82,Impulsive
94.2,1962.33,88.46,1906.83,90.77,493.99,94.76,100.0,89.92,1,90.81,100.0,95.74,97.0,95.6,3,100.0,2.15,4916.66,94.19,Careful
86.14,2076.34,92.32,1748.57,99.86,643.66,72.19,100.0,85.86,1,100.0,98.87,89.73,95.78,86.53,0,76.61,2.67,5463.76,94.53,Careful
50.31,1856.31,61.88,2277.42,69.32,634.8,58.49,65.66,59.02,2,49.91,74.14,38.71,58.17,51.94,0,72.32,3.97,5817.88,58.0,Inconsistent
70.53,1340.05,61.46,1267.15,66.89,458.46,76.68,60.48,64.22,4,65.22,65.38,77.39,66.6,84.1,5,61.66,3.36,4449.06,60.7,Impulsive
71.14,2002.23,71.86,2141.65,64.26,404.31,73.04,64.04,80.06,0,70.18,64.02,83.35,63.1,75.59,0,60.16,3.05,7140.09,73.02,Careful
71.49,1521.28,97.99,1988.37,87.79,426.43,95.14,93.24,89.39,4,83.24,89.73,97.27,86.47,100.0,2,72.31,3.3,5878.77,85.46,Careful
76.18,1095.96,72.5,1293.41,92.7,296.61,75.57,82.01,75.83,6,84.06,71.24,65.38,80.02,76.28,5,81.05,3.52,5241.5,74.69,Impulsive
95.42,1350.15,90.46,1641.77,100.0,375.18,87.44,85.34,91.04,2,100.0,100.0,89.25,90.96,96.59,2,100.0,2.59,5059.24,93.63,Efficient
90.79,2123.42,97.17,2109.18,94.06,446.06,89.46,98.53,89.92,1,99.81,97.79,78.97,94.62,100.0,2,89.24,1.93,4638.74,96.26,Careful
93.43,1339.1,80.81,1073.87,99.95,249.79,78.69,82.38,94.58,0,97.95,92.08,76.88,86.19,85.54,4,77.83,2.58,5014.76,85.66,Efficient
100.0,1358.22,100.0,1556.18,100.0,286.31,92.34,100.0,100.0,1,100.0,94.93,95.24,96.44,100.0,0,91.3,2.34,4792.6,98.38,Efficient
77.27,1514.46,75.77,1507.53,81.94,498.1,77.05,67.41,72.51,3,89.42,91.51,94.05,83.06,73.33,4,77.31,2.84,4711.06,79.09,Careful
44.68,1514.66,53.01,1302.72,39.5,584.58,45.9,51.57,40.95,7,54.66,46.48,44.58,29.84,42.91,7,49.25,4.71,6126.54,47.38,Impulsive
99.23,1639.27,94.85,2159.55,100.0,408.18,96.46,97.06,100.0,3,91.3,87.7,100.0,96.17,100.0,0,100.0,2.92,5895.21,96.04,Careful
100.0,1245.1,100.0,1183.22,100.0,368.33,100.0,100.0,98.39,1,95.15,94.17,97.22,98.14,100.0,0,100.0,2.31,4037.6,96.97,Efficient
74.67,1491.82,91.18,1578.09,79.2,371.32,82.85,78.47,71.56,3,77.69,68.26,86.43,70.88,72.3,4,84.19,2.73,5774.77,77.91,Inconsistent
48.3,1139.4,57.96,1125.48,45.55,467.89,43.27,56.25,49.98,7,41.61,44.22,45.74,47.07,33.32,4,30.3,4.16,6116.5,44.54,Inconsistent
61.36,970.77,63.74,1127.97,52.45,440.55,51.96,58.93,59.16,9,55.1,61.2,66.54,68.77,70.57,7,47.44,3.76,6383.76,56.43,Impulsive
98.03,1442.6,97.9,1310.61,100.0,374.22,88.09,87.34,84.33,0,99.68,84.09,90.98,93.73,78.72,2,98.22,2.53,5117.97,90.61,Efficient
52.64,970.0,43.23,1154.62,64.57,431.27,67.93,62.0,59.07,9,67.97,45.47,45.38,50.54,56.24,7,51.22,3.19,6620.3,59.46,Impulsive
52.86,967.96,39.8,1362.8,71.99,597.76,79.5,55.86,47.48,9,56.62,56.81,57.58,50.2,63.74,6,63.82,3.8,6547.14,52.63,Impulsive
91.13,1547.14,88.1,2037.45,89.19,602.67,84.59,86.51,76.61,4,96.44,81.84,86.09,81.54,94.57,5,85.13,2.23,4793.91,84.88,Inconsistent
90.11,1581.67,91.17,1269.95,74.51,417.93,97.77,86.98,84.51,2,79.28,100.0,100.0,100.0,87.47,3,89.6,3.27,5256.94,92.93,Efficient
36.83,1198.29,47.47,1221.24,52.64,325.12,30.88,54.98,28.18,8,52.77,37.72,36.12,37.92,31.58,6,51.5,4.18,6988.0,38.51,Impulsive
71.99,880.05,74.65,742.27,78.32,681.52,60.8,60.67,82.45,9,70.14,62.71,65.78,77.74,68.03,6,76.79,3.03,6167.95,73.72,Inconsistent
91.74,1001.82,88.91,1037.17,97.91,361.25,97.1,81.71,100.0,2,93.31,79.93,81.05,72.78,96.31,0,85.46,2.11,5402.49,88.42,Efficient
77.96,1601.37,84.96,2027.45,100.0,431.28,93.0,88.9,78.57,1,68.96,86.23,85.12,83.77,82.87,1,79.18,2.98,4768.31,86.1,Careful
91.43,1197.02,89.26,1667.93,94.87,422.45,88.19,90.8,100.0,2,81.71,92.05,83.16,97.47,86.26,3,92.42,2.06,4649.34,91.69,Efficient
90.02,1011.26,83.68,1257.88,91.51,514.5,75.34,82.53,92.55,1,95.99,88.75,90.52,91.87,94.36,1,87.1,2.53,6650.68,86.8,Efficient
95.94,1245.93,76.23,1513.59,82.48,505.27,95.93,93.19,97.36,0,79.14,87.69,89.12,92.83,91.78,1,95.72,2.9,5458.3,88.76,Efficient
97.91,1771.09,100.0,1867.63,100.0,459.8,92.24,85.17,85.43,0,94.69,94.97,100.0,100.0,90.87,0,80.73,2.24,4772.13,94.43,Careful
79.65,1815.91,76.68,1820.69,89.98,535.89,86.88,78.35,75.07,0,72.01,91.22,84.37,82.41,84.96,1,63.48,3.55,4628.91,79.95,Careful
30.83,852.43,46.75,1417.46,41.05,429.19,51.66,46.3,51.06,8,46.37,33.39,46.52,47.02,37.49,6,38.24,4.19,7210.06,43.42,Impulsive
85.9,1532.32,89.35,2027.58,100.0,583.42,81.37,86.51,88.44,7,73.57,67.5,76.92,92.63,98.62,8,76.58,3.43,5485.31,81.63,Inconsistent
89.22,1781.27,87.17,1660.67,98.0,423.06,100.0,100.0,98.92,1,90.16,93.86,97.17,92.0,92.08,0,98.45,2.63,5594.12,93.43,Careful
89.8,1642.81,81.13,1270.49,79.45,637.23,91.6,81.36,75.4,2,73.55,87.59,98.8,89.28,79.51,3,80.53,3.1,6416.8,87.47,Inconsistent
79.87,1834.48,70.72,1872.94,65.56,480.47,75.35,70.15,69.3,2,62.34,72.78,74.73,62.38,52.05,0,75.76,3.15,5563.56,72.21,Careful
47.0,1019.61,37.04,919.93,40.59,362.5,50.79,41.99,51.97,9,43.71,36.72,57.43,52.03,35.25,6,55.55,4.6,6918.29,46.37,Impulsive
100.0,979.37,94.33,1435.54,100.0,240.82,97.25,93.94,88.6,1,87.75,100.0,99.98,100.0,93.6,0,83.33,2.12,4581.73,95.54,Efficient
92.39,2028.83,93.46,2360.52,98.03,425.68,99.26,98.38,99.7,1,97.08,90.35,91.79,89.12,91.67,2,100.0,2.61,3858.55,95.55,Careful
90.31,2065.89,81.12,1768.84,96.63,559.11,96.8,100.0,99.74,3,100.0,89.78,97.28,88.93,100.0,0,86.09,1.92,5104.02,93.94,Careful
74.0,1744.13,75.34,1760.31,70.64,504.37,83.43,78.61,83.62,0,72.85,94.78,62.48,65.04,91.75,0,81.99,3.22,6164.12,81.17,Careful
75.02,1283.72,86.42,1180.54,84.96,339.65,80.5,70.64,89.0,1,83.79,90.69,64.92,82.2,76.01,0,82.07,2.47,6223.34,79.89,Efficient
99.61,1359.57,88.67,1365.7,88.41,415.8,83.98,91.84,89.06,2,95.32,81.14,81.83,81.48,91.64,3,98.8,1.88,4871.72,88.1,Efficient
94.47,1981.6,96.91,1581.27,82.28,511.47,100.0,100.0,99.89,0,91.02,90.07,98.83,95.2,99.97,0,100.0,2.67,5479.23,98.97,Careful
70.14,1363.32,51.61,1484.95,85.11,610.27,65.9,56.94,67.76,1,58.61,52.99,63.7,64.06,53.28,1,58.85,2.48,6083.68,60.66,Inconsistent
50.81,1025.57,51.46,1060.98,41.82,642.59,50.35,57.14,47.66,11,53.31,55.06,42.46,51.33,49.31,8,50.86,4.44,5569.86,49.26,Impulsive
82.69,1952.21,93.89,1770.58,81.44,599.38,90.07,93.61,98.8,0,85.8,100.0,99.93,88.92,83.49,0,79.36,2.57,4679.33,89.36,Careful
61.34,1256.37,78.6,1203.93,77.44,477.39,54.67,59.97,64.8,9,76.6,64.6,73.82,69.16,71.18,7,75.08,3.34,6713.02,68.18,Impulsive
83.34,2078.22,76.38,1842.16,79.18,363.97,83.49,93.66,85.06,2,78.56,81.24,89.22,96.5,74.23,2,93.09,2.51,5411.43,79.56,Careful
86.4,2114.13,92.01,2021.66,79.25,562.85,93.02,79.55,95.92,0,95.96,99.15,90.56,83.45,81.08,0,79.82,2.53,4845.94,87.11,Careful
46.77,914.82,52.74,1143.96,71.04,411.43,65.49,54.05,50.59,8,35.05,48.81,52.16,50.25,50.81,10,58.39,4.37,5908.16,54.14,Impulsive
96.65,1186.45,100.0,1032.23,82.82,403.72,90.16,93.64,95.41,1,77.36,84.17,94.1,100.0,90.88,0,88.23,3.06,5722.24,89.18,Efficient
91.8,1160.85,99.86,1597.68,91.24,330.41,98.77,95.91,93.86,0,93.05,91.61,82.51,98.74,97.53,0,100.0,1.75,5824.03,98.09,Efficient
78.28,1851.23,84.39,1676.19,87.6,550.78,89.04,92.74,89.44,1,90.35,79.63,88.31,73.91,98.45,0,73.33,3.05,5348.13,84.03,Inconsistent
85.04,1325.97,90.46,1342.17,99.7,232.23,82.18,83.68,91.84,2,100.0,86.87,96.21,94.33,87.54,3,93.7,2.59,5710.57,92.67,Efficient
86.56,1349.27,63.7,997.7,56.56,546.07,69.6,57.28,65.3,8,62.03,69.81,61.18,60.1,74.3,7,68.27,2.88,5982.13,67.38,Impulsive
85.02,1359.26,89.71,1367.84,88.62,268.74,88.21,96.75,85.88,0,85.62,92.39,90.39,78.74,85.23,0,89.91,2.77,4712.02,91.01,Efficient
52.59,879.14,54.96,768.95,47.38,313.48,45.68,36.1,60.89,8,59.51,57.37,54.77,33.55,45.97,7,49.68,4.39,7738.56,52.3,Impulsive
